site,depth,month,day,year,alk,turb,nh3,tn,nos,srp,tp,chl
11,0,2,27,2021,19.1,0.79,-8.8,371.8,278.7,0.8,6.1,3.11
11,5,2,27,2021,19.3,0.8,-10,374.8,290.3,0.7,6.6,3.12
11,10,2,27,2021,18.6,0.82,-9.6,363.6,289.2,0.6,6.1,2.91
11,15,2,27,2021,19.2,0.76,-6.7,392.4,322.8,1.3,6.4,3.06
11,20,2,27,2021,19.4,0.85,-9.5,385.4,301.8,0.7,6,3.21
21,0,2,27,2021,18.6,0.5,-10.4,366,332.1,0.8,4.7,2.27
21,5,2,27,2021,18.3,0.54,-9.6,389.2,328.4,0.7,4.8,2.19
21,10,2,27,2021,18.7,0.55,-9,371.4,341.9,0.9,4.8,2.25
22,0,2,24,2021,18.5,0.48,-10.7,388.5,329.3,0.6,5.1,1.63
22,5,2,24,2021,18.5,0.51,-10.6,360.5,302.6,0.7,4.8,2.17
22,10,2,24,2021,18.4,0.55,-11.1,387.4,326.9,1,4.8,2.1
22,15,2,24,2021,18.7,0.59,-10.8,380.6,331.6,0.5,4.8,2
22,20,2,24,2021,18.5,0.54,-9.7,406.6,329.8,0.4,4.9,1.48
31,0,2,17,2021,18.4,0.45,-5.7,402.4,325.8,2.5,4.5,0.82
31,5,2,17,2021,18.6,0.5,-9.1,444.6,350.2,2.4,5,1.13
31,10,2,17,2021,18.5,0.56,-8.5,445.5,354.3,2.1,5.4,1.03
31,15,2,17,2021,NA,NA,NA,NA,NA,NA,NA,1.02
31,20,2,17,2021,18.5,0.51,-8.3,431.1,354.1,2.1,4.7,0.82
31,40,2,17,2021,18.4,0.051,-8.1,436.9,356.1,1.9,4.6,NA
31,60,2,17,2021,19,0.63,-8.7,444.3,358.1,2.3,4.9,NA
31,75,2,17,2021,18.6,0.56,-8.1,429.9,340.2,2.1,5,NA
31,80,2,17,2021,NA,NA,NA,NA,NA,NA,NA,
32,0,2,17,2021,18.4,0.48,-7.3,447.6,356.4,2.1,4.6,0.72
32,5,2,17,2021,18.6,0.53,-7.7,436,344.4,2.1,4.5,0.78
32,10,2,17,2021,18.4,0.47,-6.4,470,356,2.2,4.8,0.78
32,15,2,17,2021,NA,NA,NA,NA,NA,NA,NA,0.73
32,20,2,17,2021,18.3,0.48,-6.5,435.9,341.2,2.1,5.3,0.67
32,40,2,17,2021,18.6,0.49,-7.7,468.6,356,2.6,4.8,NA
32,60,2,17,2021,18.5,0.49,-4.3,462.9,393.5,2.7,4.7,NA
32,80,2,17,2021,18.2,0.53,-7,456.8,391,2.8,4.7,NA
32,90,2,17,2021,15,0.52,-7.9,470.1,384.1,2.5,4.9,NA
0,0,2,24,2021,18.3,0.55,-8.4,428.6,356.4,2,5.8,NA
11,0,4,8,2021,20.2,0.71,-6.5,366.8,244.8,1.1,5.5,2.74
11,5,4,8,2021,20.1,0.68,-4.5,381,256.4,1.3,5.5,3.4
11,10,4,8,2021,18.9,0.74,-4.5,387,292,1.2,5.4,2.89
11,15,4,8,2021,19.3,0.66,-10.2,377,261.3,1,6.5,2.89
11,20,4,8,2021,19.3,0.78,3.9,378.7,263.3,1.1,5.9,2.12
21,0,4,8,2021,18.6,0.49,0.3,402.7,301.5,2.2,5.2,1.87
21,5,4,8,2021,18.2,0.48,4.5,398,315.5,1,4.6,1.84
21,10,4,8,2021,18.4,0.54,0.2,420.2,322.8,1.8,5.5,2.14
22,0,4,8,2021,20.1,0.55,6.7,351.8,312.1,1.6,4.2,1.67
22,5,4,8,2021,18.8,0.47,7.6,392.2,287.3,1.1,4.5,1.88
22,10,4,8,2021,18.5,0.53,1.3,408.6,313.2,0.9,5.3,1.82
22,15,4,8,2021,18.6,0.5,-1.1,403.4,317.7,1.1,4.7,1.5
22,20,4,8,2021,18.3,0.56,-0.7,422.1,327.2,0.9,5.5,2.4
31,0,4,6,2021,18.1,0.45,8.8,477.5,346.2,1.1,5.2,1.89
31,5,4,6,2021,18.7,0.47,1.1,477.1,324.3,1,5.8,2.17
31,10,4,6,2021,18.6,0.5,1.5,474.4,302.5,1.1,12.1,2.18
31,15,4,6,2021,NA,NA,NA,NA,NA,NA,NA,1.35
31,20,4,6,2021,17.5,0.44,2.8,450.3,339.7,0.9,4.6,0.99
31,40,4,6,2021,18.3,0.42,5,477,351,1,4.9,NA
31,60,4,6,2021,18.2,0.44,4.7,476.5,332.3,1.6,8.6,NA
31,75,4,6,2021,18.3,0.48,-5,469.9,342.6,1.7,4.8,NA
31,80,4,6,2021,NA,NA,NA,NA,NA,NA,NA,NA
32,0,4,6,2021,18.4,0.45,0.2,470.5,328,1.2,4.7,1.88
32,5,4,6,2021,18.6,0.46,-2.6,479.1,323.6,0.9,5.7,2.19
32,10,4,6,2021,18.2,0.46,1.2,477.8,329.2,1,5.1,2.55
32,15,4,6,2021,NA,NA,NA,NA,NA,NA,NA,2.31
32,20,4,6,2021,18.3,0.48,2.7,496,349.5,1.2,4.7,1.56
32,40,4,6,2021,18.4,0.47,0.9,424.9,347.8,1.5,4,NA
32,60,4,6,2021,18.5,0.43,7.6,477.1,350.2,1.6,4.2,NA
32,80,4,6,2021,18.3,0.38,2.5,479.4,347,1.5,4,NA
32,90,4,6,2021,18.4,0.39,-3.3,486.3,330.6,1.7,4.6,NA
0,0,4,8,2021,18.3,0.52,1.9,470.9,339,1.3,7.8,NA
11,0,5,10,2021,20.2,0.67,-6.6,314.5,176,1.1,6.4,2.15
11,5,5,10,2021,20.2,0.71,-13.2,325.2,197,0.8,6.6,2.73
11,10,5,10,2021,20.1,0.69,-2.5,361.5,238.4,1.4,7.2,2.12
11,15,5,10,2021,18.9,0.67,15.2,352.9,228.5,1,6.3,1.7
11,20,5,10,2021,20.3,0.71,18.9,368.2,226.4,1.2,7.3,1.8
21,0,5,10,2021,19.1,0.52,-10.6,323.2,207.8,0.9,6,2.29
21,5,5,10,2021,18.7,0.68,-3.4,333.3,218.1,1,8.3,2.61
21,10,5,10,2021,19.1,0.54,-7.7,350.8,257.9,1,5.6,3.16
22,0,5,6,2021,18.9,0.57,-11.1,323.9,217.8,0.8,5.6,2.05
22,5,5,6,2021,19,0.56,-11.5,375.4,251.9,1.2,6.8,2.97
22,10,5,6,2021,18.9,0.63,-12,376.2,295,1,5.9,3.15
22,15,5,6,2021,18.2,0.51,-8.6,403,323.1,1.2,7.8,2.88
22,20,5,6,2021,17.4,0.57,-6.2,399.5,321.8,1.4,7.2,3.2
31,0,5,4,2021,18.7,0.51,-12.2,327.4,275.5,1.5,5.9,2.95
31,5,5,4,2021,18.9,0.53,-14.9,335.4,279.3,1.1,6.2,3.14
31,10,5,4,2021,18.7,0.56,-12.8,390.8,290.3,1.1,6,3.43
31,15,5,4,2021,NA,NA,NA,NA,NA,NA,NA,2.27
31,20,5,4,2021,18.1,0.38,-5.5,399.6,344.6,1.4,6.3,1.01
31,40,5,4,2021,18.3,0.34,-15.5,419.5,379.3,1.2,5,NA
31,60,5,4,2021,18.3,0.34,-14.5,412,335.5,1.3,4.8,NA
31,75,5,4,2021,18.3,0.33,-15,413.3,372.7,1.4,4.7,NA
31,80,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA
32,0,5,4,2021,18.5,0.41,-11.3,380.5,291.6,1.4,5.2,2
32,5,5,4,2021,18.9,0.53,-11.1,396.5,282.3,2.4,9,3.31
32,10,5,4,2021,18.5,0.56,-9.5,381.9,275.9,1.6,6.3,3.14
32,15,5,4,2021,NA,NA,NA,NA,NA,NA,NA,2.89
32,20,5,4,2021,18.6,0.51,10.8,449.9,337.3,1.4,7.7,1.59
32,40,5,4,2021,18.2,0.34,-10,378.2,361.5,1.4,4.7,NA
32,60,5,4,2021,18.2,0.38,9.9,367.8,358,1.2,-1.2,NA
32,80,5,4,2021,18.3,0.35,-4.6,415.5,373.6,1.4,-1.2,NA
32,90,5,4,2021,18.2,0.37,-4.2,395.4,332,1.3,5.3,NA
0,0,5,6,2021,18.3,0.68,-3.5,475.4,315.8,1.2,11.3,NA
11,0,6,3,2021,20.6,0.76,-2.8,297.4,227.2,2.2,7.4,2.93
11,5,6,3,2021,20.7,0.86,-5.9,309.7,277.3,3.9,7.4,4.7
11,10,6,3,2021,20.5,0.84,3.1,341.3,222.1,2.6,8.2,4.89
11,15,6,3,2021,20.3,0.94,49.6,415.6,257.9,2.4,8,1.6
11,20,6,3,2021,20.4,1.21,51.9,486.9,275.9,2.6,16.1,1.46
21,0,6,3,2021,20.2,0.73,4.6,332.8,341.8,3.4,6.4,3.51
21,5,6,3,2021,20.1,0.56,-0.1,307.5,310,2.3,5.9,3.38
21,10,6,3,2021,20.4,0.73,-4.3,308.5,257.8,2.1,5.9,3.7
22,0,6,3,2021,20.2,0.58,4.5,284.1,239.9,2.6,5.5,3.2
22,5,6,3,2021,20.4,0.61,2.8,330,190.7,2.1,5.7,3.69
22,10,6,3,2021,20.3,0.63,8.5,324.6,204.1,2.1,5.4,3.14
22,15,6,3,2021,19.1,0.46,20.1,406.9,313.6,2.1,5.1,3.1
22,20,6,3,2021,18.8,0.49,36.2,438.6,453.8,2.6,5.1,1.78
31,0,6,1,2021,20.4,0.54,-5.3,343.4,245,2,5.5,2.57
31,5,6,1,2021,20.3,0.51,-8.3,340.7,206.9,2.1,5.4,2.73
31,10,6,1,2021,20.3,0.59,-7.7,345.4,224.3,2,5.6,3.68
31,15,6,1,2021,NA,NA,NA,NA,NA,NA,NA,2.78
31,20,6,1,2021,18.8,0.36,4.6,425.2,294.7,1.8,4.6,1.4
31,40,6,1,2021,18.6,0.33,-13,394.8,356.2,3.4,4,NA
31,60,6,1,2021,18.7,0.45,0.8,428.9,363.3,2.8,4.6,NA
31,75,6,1,2021,18.5,0.43,-4,408.8,401.8,3,4.5,NA
31,80,6,1,2021,NA,NA,NA,NA,NA,NA,NA,NA
32,0,6,1,2021,20.1,0.5,-3,338.2,253.1,4.6,5.3,3.19
32,5,6,1,2021,18.6,0.48,-3.2,341.1,229.8,2.2,7.3,2.78
32,10,6,1,2021,20.3,0.56,7.3,367.8,264.6,2.3,7.6,3.29
32,15,6,1,2021,NA,NA,NA,NA,NA,NA,NA,1.88
32,20,6,1,2021,19.1,0.32,15.4,403.7,352.1,2.1,5.2,0.7
32,40,6,1,2021,18.5,0.29,-1.6,383.1,368.3,2.4,3.8,NA
32,60,6,1,2021,18.7,0.3,-3,423.4,371.3,2.1,3.7,NA
32,80,6,1,2021,18.6,0.31,-6,418.9,392.4,2.3,3.6,NA
32,90,6,1,2021,18.7,0.31,-6.9,413.8,347.9,2.5,3.7,NA
0,0,6,3,2021,20.1,0.79,8.4,390.7,270.8,2.2,7.5,NA
11,0,7,6,2021,20.6,0.67,19.2,NA,64.5,0.4,5.6,4.13
11,5,7,6,2021,20.7,0.86,2.1,NA,57.6,0.5,8.2,8.15
11,10,7,6,2021,20.6,1.14,1.1,NA,91.7,0.7,19.2,14.27
11,15,7,6,2021,21.3,1.25,72.6,NA,181.7,0.8,12,5.42
11,20,7,6,2021,21.4,1.47,92.1,NA,259.9,1,10.6,2.19
21,0,7,8,2021,20.5,0.57,3.8,NA,123.2,0.7,3.7,2.62
21,5,7,8,2021,20.4,0.64,5.7,NA,98.1,-0.1,4.6,3.09
21,10,7,8,2021,20.3,0.61,8.8,NA,122,0,4.4,3.4
22,0,7,8,2021,20.4,0.47,-0.3,NA,123.2,-0.1,4.2,2.56
22,5,7,8,2021,25,0.52,0,NA,105.2,0.1,3.8,2.97
22,10,7,8,2021,20.4,0.5,3,NA,125.5,0,4.4,3.11
22,15,7,8,2021,21.4,0.58,20.2,NA,240.3,0.2,5.7,4.37
22,20,7,8,2021,20.7,0.89,117.8,NA,224.9,0.6,9.8,3.08
31,0,7,8,2021,20.4,0.48,4.8,NA,183.7,0.5,4.2,3.04
31,5,7,8,2021,20.2,0.56,1.1,NA,136.9,0.4,3.7,3.22
31,10,7,8,2021,20,0.63,3.2,NA,169.7,0.7,4.6,5.38
31,15,7,8,2021,NA,NA,NA,NA,NA,NA,NA,NA
31,20,7,8,2021,18.8,0.33,21.7,NA,305.2,0.5,5,2.09
31,40,7,8,2021,18.3,0.28,-0.1,NA,381.1,0.3,3.1,NA
31,60,7,8,2021,18.6,0.34,-1.8,NA,304.7,0.7,3.5,NA
31,75,7,8,2021,18.5,0.37,-0.5,NA,371.6,0.6,2.4,NA
31,80,7,8,2021,NA,NA,NA,NA,NA,NA,NA,NA
32,0,7,6,2021,20.4,0.48,4.4,NA,207.7,0.9,3.2,2.49
32,5,7,6,2021,20.2,0.53,3,NA,107.6,1.2,4.7,3.28
32,10,7,6,2021,20.2,0.64,5.4,NA,130.2,0.7,5.3,4.66
32,15,7,6,2021,NA,NA,NA,NA,NA,NA,NA,5.8
32,20,7,6,2021,18.7,0.34,20,NA,266.8,0.9,3.6,2.52
32,40,7,6,2021,18.7,0.33,3.5,NA,375.3,2.5,2.6,NA
32,60,7,6,2021,18.6,0.25,3.1,NA,388.3,2.1,2.3,NA
32,80,7,6,2021,18.7,0.26,1.9,NA,380.1,0.9,2.6,NA
32,90,7,6,2021,18.6,0.38,10.1,NA,329.3,1,2.1,NA
0,0,7,8,2021,20,0.78,10.4,NA,230.4,0.6,6.4,NA
11,0,8,9,2021,21.4,0.57,5.7,37.9,-23.4,0.7,6.1,2.92
11,5,8,9,2021,21.3,0.51,5.4,40.6,-22.8,0.1,6.2,3.26
11,10,8,9,2021,21.5,0.56,8.7,61.6,-20,0.8,7.6,3.79
11,15,8,9,2021,23,2.22,171.7,308.7,88.1,1.2,13.9,1.79
11,20,8,9,2021,23.6,4.88,173.8,311.2,100.7,2.9,18,1.19
21,0,8,9,2021,20.9,0.37,19.8,70.1,46.5,0.4,3.5,2.21
21,5,8,9,2021,20.8,0.4,6.6,78.3,46,0.3,3.6,2.75
21,10,8,9,2021,20.8,0.38,11.1,97.4,51.3,0.6,3.7,2.37
22,0,8,9,2021,20.8,0.34,8.5,96.3,45.1,0.2,3.3,2.07
22,5,8,9,2021,20.9,0.38,9.5,88.1,42.6,0.3,4.2,2.65
22,10,8,9,2021,20.9,0.38,10.7,84.7,48.8,0.6,3,2.32
22,15,8,9,2021,20.4,0.87,13.6,276.1,175.8,1.5,10.5,5.81
22,20,8,9,2021,23.8,1.32,300.5,440.9,101.2,10.8,28.6,0.76
31,0,8,11,2021,NA,0.33,12.7,128.2,43.7,1.1,3.2,1.64
31,5,8,11,2021,20.8,0.33,8.4,117.6,43.9,0.3,2.7,2.4
31,10,8,11,2021,20.6,0.33,7.4,154.5,43.4,0.2,3.4,2.53
31,15,8,11,2021,NA,NA,NA,NA,NA,NA,NA,3.41
31,20,8,11,2021,18.9,0.32,19,337.4,302.3,0.7,4.7,4.06
31,40,8,11,2021,18.5,0.15,3.4,357,390,0.8,2.6,NA
31,60,8,11,2021,18.7,0.23,2.9,367.2,353.5,0.6,17.8,NA
31,75,8,11,2021,18.6,0.28,4.2,396.4,367.4,1.8,5.1,NA
31,80,8,11,2021,NA,NA,NA,NA,NA,NA,NA,NA
32,0,8,11,2021,20.5,0.32,6.8,315.3,49.8,0.3,2.3,2.17
32,5,8,11,2021,20.6,0.32,3.7,325.7,49.8,0.3,3,2.51
32,10,8,11,2021,20.6,0.35,5.8,402.8,60.6,0.3,3.6,2.56
32,15,8,11,2021,NA,NA,NA,NA,NA,NA,NA,2.78
32,20,8,11,2021,19.5,0.36,13.8,322.7,178.3,0.6,4.9,2.72
32,40,8,11,2021,18.9,0.25,7,424.1,305.7,0.6,2.2,NA
32,60,8,11,2021,18.6,0.24,0.6,421.3,373.6,0.7,2.3,NA
32,80,8,11,2021,18.6,0.2,0.7,349.4,366.6,0.9,2.1,NA
32,90,8,11,2021,18.7,0.35,1.6,437.1,354.9,0.8,2.6,NA
0,0,8,9,2021,21.3,0.46,28.4,127.1,70.1,1.6,6,NA
11,0,9,9,2021,21.43,0.61,-2.046523,96.585968,-1.631235,0.640665,5.323313,4.084465084
11,5,9,9,2021,21.5,0.68,-3.09633,98.132065,-0.266772,0.290497,6.048531,3.395186984
11,10,9,9,2021,21.9,0.97,-0.784804,100.008591,-1.688879,0.333129,7.875122,3.828447504
11,15,9,9,2021,25.51,1.12,252.881027,384.531952,-1.622588,9.505458,28.665733,1.284026632
11,20,9,9,2021,25.74,1.24,254.639053,358.971405,1.921834,8.927625,36.587929,0.614442192
21,0,9,9,2021,20.92,0.44,7.040519,105.177269,34.213936,0.356905,2.742894,2.524727212
21,5,9,9,2021,20.78,0.46,1.979492,120.63649,35.287167,0.230547,3.091769,3.127353208
21,10,9,9,2021,21,0.43,4.318202,131.819199,44.664326,0.258681,3.038115,2.784683524
22,0,9,9,2021,20.89,0.39,5.992335,124.129448,42.254265,0.419183,3.05306,2.725602544
22,5,9,9,2021,21,0.42,3.622305,125.587837,42.784618,0.156354,3.067653,3.009191248
22,10,9,9,2021,20.71,0.39,1.764276,122.905487,49.700634,0.066951,2.547346,2.650766636
22,15,9,9,2021,21.2,0.59,60.28075,246.284576,102.602654,0.710989,7.48571,2.119037816
22,20,9,9,2021,26.32,2.82,374.150482,559.09668,-0.18261,14.076788,59.225151,0.756236544
31,0,9,7,2021,20.9,0.32,6.382172,125.190704,56.657772,0.249224,2.151011,2.505033552
31,5,9,7,2021,20.98,0.35,-1.298079,133.996948,53.067173,0.155154,2.059431,2.879213092
31,10,9,7,2021,21.02,0.34,-1.686067,136.254547,54.310787,0.062619,3.27499,2.694092688
31,15,9,7,2021,NA,NA,NA,NA,NA,NA,NA,2.457768768
31,20,9,7,2021,20.3,0.31,3.5111,237.06868,176.417908,0.137602,2.574117,2.12691528
31,40,9,7,2021,18.58,0.16,0.378418,374.301361,368.465759,1.946022,1.247098,NA
31,60,9,7,2021,18.82,0.43,6.598323,369.107025,359.968109,0.877275,1.881613,NA
31,75,9,7,2021,18.94,0.4,5.26313,362.086121,361.065552,0.500386,1.3262,NA
31,80,9,7,2021,NA,NA,NA,NA,NA,NA,NA,NA
32,0,9,7,2021,21,0.32,11.231503,131.096985,51.992683,0.792548,1.89425,2.217506116
32,5,9,7,2021,20.94,0.33,3.22658,124.52327,54.749496,0.238447,1.70327,2.591685656
32,10,9,7,2021,20.91,0.33,2.842874,123.155174,54.119637,0.167901,1.776742,2.761051132
32,15,9,7,2021,NA,NA,NA,NA,NA,NA,NA,2.544420872
32,20,9,7,2021,19.17,0.32,16.985895,321.051331,265.37735,0.296177,3.360941,1.992998392
32,40,9,7,2021,18.44,0.16,0.398907,373.480896,367.145538,0.630026,1.138382,NA
32,60,9,7,2021,18.57,0.22,-0.591438,366.492279,357.26535,0.565625,0.832802,NA
32,80,9,7,2021,18.48,0.23,-1.493567,366.157532,355.512268,0.463162,0.89542,NA
32,90,9,7,2021,18.75,0.24,0.633592,357.887054,360.155884,0.462875,0.6888,NA
0,0,9,9,2021,21,0.43,10.037045,146.000214,52.277248,0.583547,4.05186,NA
11,0,10,7,2021,26,0.83,23.2,283.6,34,0.2,8.3,3.03
11,5,10,7,2021,22.3,0.97,14.3,288.4,34.3,0.1,8,4.32
11,10,10,7,2021,23.6,1.01,11.6,270.6,33.7,0.5,6.4,4
11,15,10,7,2021,22.9,1.53,61,328.6,33.8,0.7,12.2,2.87
11,20,10,7,2021,27.5,2.92,424.8,698.8,33,36.1,65.9,0.04
21,0,10,7,2021,21.9,0.48,7.8,296.7,62.6,0.3,3.4,2.3
21,5,10,7,2021,21.5,0.49,19,297.6,65.2,0,3.3,2.73
21,10,10,7,2021,21.4,0.49,6.3,294.8,66.2,0.1,4.2,3.36
22,0,10,7,2021,NA,0.44,7.2,297.8,65.6,-0.1,2.7,2.21
22,5,10,7,2021,21.5,0.52,5.8,310.9,65.2,-0.1,3.5,2.67
22,10,10,7,2021,20.4,0.5,9.3,302.5,65,0.3,3.7,2.81
22,15,10,7,2021,21.1,0.78,24.8,326.9,59.4,0.1,5.1,2.6
22,20,10,7,2021,28.3,5.31,577.4,938.2,32.1,32.6,71.7,0.68
31,0,10,19,2021,20.4,0.33,7.7,348.7,102,0.2,3.3,3.02
31,5,10,19,2021,20.1,0.3,2.4,336.3,104.1,0,2.6,3.24
31,10,10,19,2021,20.6,0.31,2.6,144.6,105.4,0,-1.6,3.1
31,15,10,19,2021,NA,NA,NA,NA,NA,NA,NA,2.93
31,20,10,19,2021,20.6,0.3,10.2,333.2,105,1.7,2.4,2.53
31,40,10,19,2021,18.7,0.2,6.7,574.2,381,0.4,1.7,NA
31,60,10,19,2021,18.9,0.28,4.4,561.6,380.7,0.3,1.1,NA
31,75,10,19,2021,20.1,0.99,4.6,575.5,399.9,2.5,6.3,NA
32,0,10,12,2021,20.9,0.35,2.8,396.7,113.6,-0.1,2.5,3.23
32,5,10,12,2021,20.8,0.33,2.6,423.5,108.6,-0.1,2.6,3.5
32,10,10,12,2021,20.3,0.38,2.1,421.9,107.1,3.4,2.3,3.04
32,15,10,12,2021,NA,NA,NA,NA,NA,NA,NA,3.03
32,20,10,12,2021,20.2,0.28,1.5,479.6,188,2.6,2.2,1.79
32,40,10,12,2021,18.7,0.3,-1.5,626,390.1,-0.3,2.4,NA
32,60,10,12,2021,18.9,0.21,-0.4,611.7,392.7,0.3,35.1,NA
32,80,10,12,2021,18.8,0.25,0.4,627.6,389.8,0.9,2,NA
32,90,10,12,2021,19.3,0.65,-1.3,633.8,381,1.1,4.5,NA
0,0,10,7,2021,21.6,0.42,20.6,329.9,66,0.1,4.7,NA
11,0,11,11,2021,20.8,0.73,3.3,222.2,70.9,1.5,6.7,4.76
11,5,11,11,2021,21.7,0.8,2.8,232.1,73.1,1.4,6.9,4.93
11,10,11,11,2021,21.3,0.86,2.2,228.2,75.5,1.3,6.8,5.16
11,15,11,11,2021,20.3,0.86,2.0,230.0,80.4,1.3,7.1,4.94
11,20,11,11,2021,21.1,0.77,0.9,233.3,74.3,1.5,7.0,5.04
21,0,11,11,2021,20.2,0.43,0.7,263.2,130.1,1.2,3.6,2.51
21,5,11,11,2021,20.4,0.046,5.1,265.9,140.3,2.3,3.5,2.38
21,10,11,11,2021,21.0,0.47,2.3,264.5,137.3,1.3,3.7,2.62
22,0,11,11,2021,21.0,0.47,-0.1,259.8,132.9,1.3,3.8,2.59
22,5,11,11,2021,21.5,0.42,1.4,257.4,149.6,1.3,3.6,2.55
22,10,11,11,2021,20.5,0.44,1.6,259.7,145.4,1.3,3.7,2.56
22,15,11,11,2021,20.9,0.43,1.3,258.6,149.1,1.9,3.6,2.40
22,20,11,11,2021,20.3,0.57,2.0,269.3,134.1,1.5,4.3,3.12
31,0,11,2,2021,20.6,0.3,0.0,285.0,128.9,1.8,3.6,3.47
31,5,11,2,2021,20.3,0.35,2.3,271.2,129.0,1.3,3.3,3.06
31,10,11,2,2021,20.7,0.32,4.4,262.9,116.9,1.2,3.0,3.19
31,15,11,2,2021,NA,NA,NA,NA,NA,NA,NA,3.11
31,20,11,2,2021,19.2,0.34,3.0,333.4,210.2,1.2,2.7,1.37
31,40,11,2,2021,18.6,0.38,-1.5,458.7,380.8,1.9,2.7,NA
31,60,11,2,2021,20.0,0.21,-0.5,479.0,397.4,1.7,2.2,NA
31,75,11,2,2021,18.5,0.96,0.0,491.4,403.5,3.1,5.7,NA
32,0,11,2,2021,20.7,0.31,-0.2,467.4,157.2,1.3,3.6,3.06
32,5,11,2,2021,20.6,0.3,-1.1,409.2,139.6,1.4,4.1,3.23
32,10,11,2,2021,20.5,0.31,-2.0,395.9,145.0,1.3,3.0,3.08
32,15,11,2,2021,NA,NA,NA,NA,NA,NA,NA,2.98
32,20,11,2,2021,20.5,0.32,-2.0,397.4,141.9,1.2,3.5,2.95
32,40,11,2,2021,18.8,0.2,1.6,588.2,403.3,1.7,2.5,NA
32,60,11,2,2021,20.1,0.25,-2.5,573.4,390.1,1.6,2.1,NA
32,80,11,2,2021,19.1,0.27,-1.7,621.8,382.9,1.7,4.4,NA
32,90,11,2,2021,19.2,0.26,-2.7,600.9,390.4,1.5,1.9,NA
0,0,11,2,2021,21.1,0.46,3.4,295.7,128.7,1.1,4.5,NA
